"","num","tv_sec","tv_usec","src","dst","protocol_name","size","header_len","total_len","ttl","flags","flag_bits","dscp","frag_ofs"
"88",88,1366841404,860581,"128.237.255.81","173.194.74.189","TCP",54,5,40,64,2,"010",0,0
"89",89,1366841405,309424,"196.132.138.81","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"90",90,1366841405,469721,"128.237.255.81","74.125.228.67","TCP",91,5,77,64,2,"010",0,0
"91",91,1366841405,579229,"74.125.228.67","128.237.255.81","TCP",91,5,77,57,0,"000",0,0
"92",92,1366841405,579290,"128.237.255.81","74.125.228.67","TCP",54,5,40,64,2,"010",0,0
"93",93,1366841405,769635,"63.193.172.89","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"94",94,1366841406,256974,"16.6.74.206","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"95",95,1366841406,736878,"94.148.118.202","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"96",96,1366841407,199637,"160.116.210.243","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"97",97,1366841407,676878,"248.237.9.18","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"98",98,1366841408,159406,"161.147.211.153","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"99",99,1366841408,629459,"207.137.67.221","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"100",100,1366841409,117175,"229.61.253.52","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"101",101,1366841409,596966,"180.70.211.154","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"102",102,1366841410,68653,"132.214.137.24","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"103",103,1366841410,536912,"132.42.241.177","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"104",104,1366841410,997157,"65.248.11.247","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"105",105,1366841411,476888,"49.201.237.5","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"106",106,1366841411,936337,"51.145.58.158","128.237.255.81","TCP",54,5,40,64,0,"000",0,0
"107",107,1366841412,311784,"128.237.255.81","74.125.228.67","TCP",1440,5,1426,64,2,"010",0,0
"108",108,1366841412,311840,"128.237.255.81","74.125.228.67","TCP",821,5,807,64,2,"010",0,0
"109",109,1366841412,311921,"128.237.255.81","74.125.228.67","TCP",161,5,147,64,2,"010",0,0
"110",110,1366841412,420649,"74.125.228.67","128.237.255.81","TCP",54,5,40,57,0,"000",0,0
"111",111,1366841412,482690,"74.125.228.67","128.237.255.81","TCP",118,5,104,57,0,"000",0,0
"112",112,1366841412,482758,"128.237.255.81","74.125.228.67","TCP",54,5,40,64,2,"010",0,0
"113",113,1366841412,482901,"74.125.228.67","128.237.255.81","TCP",97,5,83,57,0,"000",0,0
"114",114,1366841412,482939,"128.237.255.81","74.125.228.67","TCP",54,5,40,64,2,"010",0,0
"115",115,1366841412,485950,"74.125.228.67","128.237.255.81","TCP",220,5,206,57,0,"000",0,0
"116",116,1366841412,486001,"128.237.255.81","74.125.228.67","TCP",54,5,40,64,2,"010",0,0
"117",117,1366841420,188114,"173.194.74.189","128.237.255.81","TCP",108,5,94,49,0,"000",0,0
"118",118,1366841420,188343,"173.194.74.189","128.237.255.81","TCP",87,5,73,49,0,"000",0,0
"119",119,1366841420,188437,"128.237.255.81","173.194.74.189","TCP",54,5,40,64,2,"010",0,0
"120",120,1366841420,195929,"128.237.255.81","173.194.74.189","TCP",1440,5,1426,64,2,"010",0,0
"121",121,1366841420,196027,"128.237.255.81","173.194.74.189","TCP",492,5,478,64,2,"010",0,0
"122",122,1366841420,213985,"173.194.74.189","128.237.255.81","TCP",54,5,40,49,0,"000",0,0
"123",123,1366841420,214241,"173.194.74.189","128.237.255.81","TCP",54,5,40,49,0,"000",0,0
"124",124,1366841420,300909,"173.194.74.189","128.237.255.81","TCP",107,5,93,49,0,"000",0,0
"125",125,1366841420,302232,"173.194.74.189","128.237.255.81","TCP",108,5,94,49,0,"000",0,0
"126",126,1366841420,302535,"128.237.255.81","173.194.74.189","TCP",54,5,40,64,2,"010",0,0
"127",127,1366841421,278507,"74.125.228.86","128.237.255.81","TCP",108,5,94,57,0,"000",0,0
"128",128,1366841421,278575,"128.237.255.81","74.125.228.86","TCP",54,5,40,64,2,"010",0,0
"129",129,1366841421,278723,"74.125.228.86","128.237.255.81","TCP",87,5,73,57,0,"000",0,0
"130",130,1366841421,278765,"128.237.255.81","74.125.228.86","TCP",54,5,40,64,2,"010",0,0
"131",131,1366841421,294267,"128.237.255.81","74.125.228.86","TCP",1440,5,1426,64,2,"010",0,0
"132",132,1366841421,294323,"128.237.255.81","74.125.228.86","TCP",1437,5,1423,64,2,"010",0,0
"133",133,1366841421,305011,"74.125.228.86","128.237.255.81","TCP",54,5,40,57,0,"000",0,0
"134",134,1366841421,414167,"74.125.228.86","128.237.255.81","TCP",108,5,94,57,0,"000",0,0
"135",135,1366841421,414315,"74.125.228.86","128.237.255.81","TCP",108,5,94,57,0,"000",0,0
"136",136,1366841421,414455,"128.237.255.81","74.125.228.86","TCP",54,5,40,64,2,"010",0,0
"137",137,1366841426,109105,"128.237.255.81","199.59.148.147","TCP",58,5,44,64,2,"010",0,0
"138",138,1366841426,190442,"199.59.148.147","128.237.255.81","TCP",58,5,44,46,2,"010",0,0
"139",139,1366841426,190514,"128.237.255.81","199.59.148.147","TCP",54,5,40,64,2,"010",0,0
"140",140,1366841426,190654,"128.237.255.81","199.59.148.147","TCP",586,5,572,64,2,"010",0,0
"141",141,1366841426,270083,"199.59.148.147","128.237.255.81","TCP",54,5,40,46,2,"010",0,0
"142",142,1366841426,274098,"199.59.148.147","128.237.255.81","TCP",445,5,431,46,2,"010",0,0
"143",143,1366841426,274139,"128.237.255.81","199.59.148.147","TCP",54,5,40,64,2,"010",0,0
"144",144,1366841426,274251,"199.59.148.147","128.237.255.81","TCP",261,5,247,46,2,"010",0,0
"145",145,1366841426,274282,"128.237.255.81","199.59.148.147","TCP",54,5,40,64,2,"010",0,0
